customer_id,date,category,price,quantity,age,gender
46251,2020-09-08,Electronics,12,3,37,Male
46251,2022-03-05,Home,468,4,37,Male
46251,2022-05-23,Home,288,2,37,Male
46251,2020-11-12,Clothing,196,1,37,Male
13593,2020-11-27,Home,449,1,49,Female
13593,2023-03-07,Home,250,4,49,Female
13593,2023-04-15,Electronics,73,1,49,Female
13593,2021-03-27,Books,337,2,49,Female
13593,2020-05-05,Clothing,182,2,49,Female
28805,2023-09-13,Electronics,394,2,19,Male
28805,2021-03-31,Clothing,366,1,19,Male
28805,2021-01-18,Books,348,1,19,Male
28805,2020-01-07,Books,103,4,19,Male
28805,2021-02-12,Books,240,1,19,Male
28805,2020-07-02,Clothing,368,1,19,Male
28961,2021-04-25,Books,30,1,55,Male
28961,2020-01-13,Books,153,5,55,Male
28961,2023-06-18,Clothing,259,1,55,Male
28961,2021-09-10,Books,489,3,55,Male
28961,2023-06-01,Books,232,3,55,Male
12163,2021-12-18,Clothing,255,2,67,Male
12163,2020-06-20,Books,227,3,67,Male
12163,2023-07-08,Clothing,288,2,67,Male
12163,2023-07-01,Books,60,3,67,Male
12163,2022-11-16,Home,285,4,67,Male
12163,2020-04-07,Books,100,5,67,Male
12163,2020-11-28,Electronics,28,4,67,Male
12163,2020-08-21,Electronics,382,2,67,Male
12163,2023-04-24,Home,400,5,67,Male
28248,2023-04-09,Clothing,410,1,48,Male
28248,2020-04-26,Books,70,5,48,Male
28248,2023-09-12,Home,243,3,48,Male
28248,2021-06-25,Home,131,4,48,Male
28248,2021-11-24,Home,327,1,48,Male
28248,2022-09-22,Books,405,3,48,Male
28248,2021-08-03,Electronics,219,2,48,Male
6761,2021-11-29,Books,218,5,46,Female
6761,2020-11-23,Clothing,304,4,46,Female
6761,2020-01-08,Clothing,20,4,46,Female
6761,2021-05-10,Home,400,2,46,Female
17018,2023-06-27,Home,227,2,21,Male
17018,2022-01-17,Clothing,285,3,21,Male
17018,2022-03-03,Books,31,1,21,Male
17018,2020-05-10,Books,434,4,21,Male
17018,2022-12-09,Home,156,3,21,Male
17018,2021-04-30,Clothing,119,3,21,Male
17018,2020-06-25,Electronics,53,4,21,Male
11462,2020-01-12,Clothing,485,3,32,Female
11462,2023-01-12,Home,191,4,32,Female
11462,2022-01-04,Books,31,5,32,Female
11462,2020-08-27,Home,355,5,32,Female
11462,2023-02-27,Books,284,3,32,Female
